order_id,lat,lng,weight,volume,time_window_start,time_window_end,service_time
ORD0044,12.910243,77.577921,28.2,0.194,11:30,14:30,6
ORD0045,12.913103,77.705057,35.8,0.166,14:00,17:00,15
ORD0046,13.017854,77.527153,19.3,0.11,08:30,12:30,14
ORD0047,12.951132,77.526988,20.7,0.136,13:00,17:00,8
ORD0048,12.885057,77.619638,30.8,0.203,07:00,09:00,15
ORD0049,12.905909,77.61962,40.8,0.302,12:00,15:00,11
ORD0050,12.91999,77.55912,33.5,0.192,14:00,17:00,5
ORD0051,12.925064,77.678287,15.6,0.092,14:30,18:30,10
ORD0052,12.894313,77.692239,37.1,0.223,14:30,17:30,7
ORD0053,12.988785,77.484713,17.6,0.114,14:00,17:00,15
ORD0054,12.994291,77.535926,32.7,0.177,07:00,09:00,7
ORD0055,12.914833,77.573192,30.8,0.175,12:30,14:30,8
ORD0056,13.045051,77.504095,28.5,0.216,12:00,15:00,13
ORD0057,12.940522,77.487673,28.1,0.14,06:00,09:00,10
ORD0058,12.873414,77.626042,104.2,0.783,14:30,16:30,11
ORD0059,12.888944,77.542988,11.6,0.085,10:00,13:00,10
ORD0060,13.022845,77.567033,37.8,0.261,10:00,12:00,12
ORD0061,12.967308,77.57718,49.7,0.325,09:30,11:30,5
ORD0062,13.070476,77.601916,23.8,0.181,10:00,13:00,7
ORD0063,12.949486,77.69246,67.5,0.323,15:00,17:00,9
ORD0064,12.91947,77.676628,11.5,0.083,10:30,14:30,14
ORD0065,12.863454,77.627772,26.3,0.161,07:00,11:00,15
ORD0066,12.912051,77.63875,35.5,0.272,13:00,17:00,7
ORD0067,12.889037,77.585944,47.3,0.336,13:30,16:30,11
ORD0068,12.908872,77.496571,19.3,0.146,13:00,15:00,12
ORD0069,12.888932,77.546697,17.6,0.095,11:30,14:30,10
ORD0070,12.933819,77.538433,59.2,0.359,09:30,13:30,11
ORD0071,12.883809,77.599226,42.7,0.255,07:00,10:00,8
ORD0072,13.051505,77.598051,32.1,0.199,14:30,17:30,10
ORD0073,13.076126,77.580421,18.3,0.09,06:00,18:00,13
ORD0074,12.85753,77.548393,7.3,0.038,14:00,18:00,9
ORD0075,12.863477,77.658006,17.7,0.094,08:00,11:00,5
ORD0076,12.930757,77.474305,31.0,0.227,06:00,10:00,9
ORD0077,13.003083,77.512293,58.5,0.419,07:00,11:00,15
ORD0078,13.056558,77.656508,13.9,0.086,15:30,19:00,8
ORD0079,13.047231,77.511557,44.6,0.282,15:00,19:00,5
ORD0080,12.873596,77.588329,10.2,0.049,07:00,09:00,5
ORD0081,12.89698,77.563932,23.8,0.125,13:00,15:00,15
ORD0082,13.032107,77.588906,50.9,0.361,07:30,11:30,8
ORD0083,12.916519,77.681732,14.9,0.103,10:30,13:30,6
ORD0084,13.052775,77.565146,21.4,0.131,15:30,17:30,11
ORD0085,12.906228,77.506657,88.8,0.561,06:00,18:00,15
ORD0086,12.919059,77.490801,34.1,0.207,10:00,12:00,14
ORD0087,12.895242,77.628068,61.0,0.346,07:30,09:30,10
ORD0088,12.973897,77.511831,32.4,0.225,06:00,18:00,6
ORD0089,13.034787,77.562443,55.3,0.335,14:30,17:30,11
ORD0090,12.968215,77.564755,31.6,0.183,06:00,18:00,9
ORD0091,12.930687,77.680536,19.9,0.092,15:30,17:30,7
ORD0092,12.977616,77.666277,21.7,0.157,06:00,18:00,6
ORD0093,13.054943,77.653535,46.0,0.31,13:30,16:30,8
ORD0094,13.038645,77.648215,11.1,0.076,06:00,18:00,6
ORD0095,12.907577,77.611472,6.5,0.039,10:30,14:30,9
ORD0096,12.916203,77.491077,83.2,0.483,11:00,15:00,13
ORD0097,12.93997,77.666913,15.9,0.116,11:00,15:00,12
ORD0098,12.873751,77.635388,17.3,0.124,13:30,15:30,7
ORD0099,12.923756,77.517428,21.6,0.126,12:30,16:30,7
ORD0100,12.93787,77.601547,12.9,0.073,06:00,18:00,10
